Date,Close,High,Low,Open,Volume
,AAPL,AAPL,AAPL,AAPL,AAPL
2020-01-02,72.46826171875,72.52858156247073,71.22325926076245,71.4765996590847,135480400
2020-01-03,71.76371002197266,72.5237384458872,71.5393220101689,71.69615210347494,146322800
2020-01-06,72.3355484008789,72.37415398165305,70.6345318765685,70.88546446996966,118387200
2020-01-07,71.99534606933594,72.6009522080095,71.77578098551396,72.34519669570282,108872000
2020-01-08,73.15347290039062,73.45507203093307,71.6985589891843,71.6985589891843,132079200
2020-01-09,74.70735931396484,74.90037993391,73.8797725451346,74.13069787841037,170108400
2020-01-10,74.876220703125,75.44082088635776,74.3743628731269,74.94137084294664,140644800
2020-01-13,76.47590637207031,76.50245093143005,75.07407383392189,75.1923057311866,121532000
2020-01-14,75.44322967529297,76.62308929816353,75.32018220682278,76.41317742986432,161954400
2020-01-15,75.11993408203125,76.12365735740354,74.68804185654645,75.24298894303718,121923600
2020-01-16,76.06092071533203,76.17191454820045,75.30089202786714,75.66281115173265,108829200
2020-01-17,76.90296173095703,76.90536951718424,76.00298720000536,76.309409291276,137816400
2020-01-21,76.3818130493164,76.97294309653658,76.24428203921465,76.53140508279039,110843200
2020-01-22,76.65447235107422,77.2069969045426,76.56036984576589,76.86679204908404,101832400
2020-01-23,77.02361297607422,77.1032319252794,76.15982874124028,76.70753760258107,104472000
2020-01-24,76.80164337158203,78.01286327957854,76.61103058846822,77.26972598534742,146537600
2020-01-27,74.54325866699219,75.223660842835,73.56124993820636,74.81107521306389,161940000
2020-01-28,76.65204620361328,76.82335250031947,75.32500962430629,75.42393505290065,162234000
2020-01-29,78.25656127929688,79.1034543464979,77.54237630271076,78.28310584272509,216229200
2020-01-30,78.14314270019531,78.196224452265,76.90779359376785,77.33968569636842,126743200
2020-01-31,74.6783676147461,77.85601226019499,74.38400653828495,77.43377343365503,199588400
2020-02-03,74.4732894897461,75.63866557981345,72.91944979414838,73.42130763220082,173788400
2020-02-04,76.93192291259766,77.1225356625265,75.67244439973094,76.07779194419663,136616400
2020-02-05,77.55924224853516,78.35787622812788,76.95604393384211,78.05868485702287,118826800
2020-02-06,78.46646118164062,78.4688763315637,77.27213272836197,77.82948747921107,105425600
2020-02-07,77.39988708496094,78.21492705790754,76.9089278720762,77.9658198194633,117684000
2020-02-10,77.76750183105469,77.76750183105469,75.90524599878522,75.98505390529154,109348800
2020-02-11,77.2983169555664,78.33586413946524,77.08065162389036,78.26331148915241,94323200
2020-02-12,79.13397979736328,79.13881418044723,77.74816513747918,77.74816513747918,113730400
2020-02-13,78.57044982910156,78.89695147104912,78.20283748467311,78.40599225770488,94747600
2020-02-14,78.5898208618164,78.8389281598991,78.08193011775062,78.53902662089303,80113600
2020-02-18,77.1507797241211,77.3321687046637,76.08904601525819,76.2704349958008,152531200
2020-02-19,78.26813507080078,78.49789739964547,77.39263210107522,77.39263210107522,93984000
2020-02-20,77.46520233154297,78.517260139207,76.95973247404322,78.02872169520079,100566000
2020-02-21,75.71176147460938,77.5014720805536,75.09504186089677,77.05887881173565,129554000
2020-02-24,72.11542510986328,73.56653705998549,69.95085421270655,71.89292541072396,222195200
2020-02-25,69.67272186279297,73.16748626275555,69.20111488480276,72.7853633450679,230673600
2020-02-26,70.77799987792969,72.04288873722294,69.29061126924033,69.29786653540023,198054800
2020-02-27,66.15135192871094,69.16966734254164,66.01591540828939,67.98459409848462,320605600
2020-02-28,66.11267852783203,67.33403591375473,62.00361420698183,62.218866092738025,426510000
2020-03-02,72.26778411865234,72.90385595913628,67.16712712972084,68.2699714851257,341397200
2020-03-03,69.97262573242188,73.52301148955354,69.12130192834442,73.4432035732901,319475600
2020-03-04,73.21827697753906,73.37790019382146,70.89408264604006,71.6946122287109,219178400
2020-03-05,70.84329986572266,72.44677262458974,70.4781009386349,71.47210923904862,187572800
2020-03-06,69.90248107910156,70.33539821217181,68.01603849038064,68.2022618674925,226176800
2020-03-09,64.37374877929688,67.25662042749718,63.6070747073531,63.78846370366684,286744800
2020-03-10,69.01004028320312,69.27607892653965,65.1476640243261,67.02685855623419,285290000
2020-03-11,66.61329650878906,68.01362169576068,65.74988307252373,67.08733175658426,255598800
2020-03-12,60.03493118286133,65.30005115563984,59.97930624666177,61.8996120451793,418474000
2020-03-13,67.22759246826172,67.6992067625623,61.176455139066015,64.06417194479151,370732000
2020-03-16,58.578975677490234,62.65901412516802,58.044481123383505,58.51609179443726,322423600
2020-03-17,61.15468978881836,62.303482965474245,57.65750864986293,59.86078026244391,324056000
2020-03-18,59.65763473510742,60.4630023695136,57.34794730651824,57.98885734585637,300233600
2020-03-19,59.20054244995117,61.149869314864894,58.67572396250281,59.83177642616681,271857200
2020-03-20,55.44215774536133,60.905593927619734,55.142259915533515,59.780979833542105,401693200
2020-03-23,54.26434326171875,55.26319340884497,51.42016448308318,55.16161599071899,336752800
2020-03-24,59.708431243896484,59.90433080067905,56.6659322179662,57.16414681678831,287531200
2020-03-25,59.37950897216797,62.45828415286656,59.08444921259577,60.644394003218935,303602000
2020-03-26,62.504234313964844,62.56227643476942,59.58266157820947,59.621358785658394,252087200
2020-03-27,59.916419982910156,61.88267437044843,59.74954150082475,61.12809725879501,204216800
2020-03-30,61.626304626464844,61.79802116213787,60.317884482413085,60.64196895182637,167976400
2020-03-31,61.500553131103516,63.483739105011665,60.9467135877393,61.8173824008547,197002000
2020-04-01,58.26456069946289,60.15342405049904,57.83406447537594,59.61651236600977,176218400
2020-04-02,59.23681640625,59.29002414850145,57.29474488517958,58.126716465435884,165934000
2020-04-03,58.38549041748047,59.423033841940786,57.79537096509543,58.72166453956951,129880000
2020-04-06,63.478904724121094,63.63368619049375,60.313062431640056,60.68067487242126,201820400
2020-04-07,62.7436637878418,65.71119260823201,62.6396691972311,65.49351989948178,202887200
2020-04-08,64.34957122802734,64.6639759139237,63.17900829152558,63.54419983698464,168895200
2020-04-09,64.81391906738281,65.31697539124775,64.0182312530311,64.98563931197687,161834800
2020-04-13,66.08605194091797,66.19488828158737,64.29150704508059,64.89130259807796,131022800
2020-04-14,69.42361450195312,69.71383985781922,67.24694647516952,67.71856083326759,194994800
2020-04-15,68.78996276855469,69.24948009360917,67.87092811844572,68.2990035025,131154400
2020-04-16,69.33653259277344,69.70173138044676,68.2868960690995,69.5034110202046,157125200
2020-04-17,68.39575958251953,69.39945153562385,66.95915775635743,68.85286351845254,215250000
2020-04-20,66.97608184814453,68.12487900696708,66.95673693299449,67.22277564592211,130015200
2020-04-21,64.90582275390625,67.05346978399236,64.19477725392538,66.81887303902265,180991600
2020-04-22,66.77534484863281,67.21067553657838,65.8321234375921,66.1731282940646,116862400
2020-04-23,66.51657104492188,68.14181716571889,66.47787383005301,66.71972588742912,124814400
2020-04-24,68.43687438964844,68.44655053818545,66.99301736634283,67.04139072828913,126161200
2020-04-27,68.4852066040039,68.81654253011887,67.7064431812968,68.15386329715461,117087600
2020-04-28,67.37511444091797,69.12854111634766,67.28321689774812,68.9471521499239,112004800
2020-04-29,69.58807373046875,70.05726716798014,68.65936300137292,68.86251778141856,137280800
2020-04-30,71.05612182617188,71.2326764610738,69.7380327214539,70.12741093803704,183064000
2020-05-01,69.91216278076172,72.31375148512824,69.13339900800005,69.23013833651491,240616800
2020-05-04,70.90130615234375,71.029487368205,69.24703998923968,69.93631940238333,133568000
2020-05-05,71.96548461914062,72.79745613687825,71.21574190038736,71.36085458478117,147751200
2020-05-06,72.70795440673828,73.33918446648443,72.28229260413691,72.66683632686777,142333600
2020-05-07,73.46012115478516,73.80597511019377,73.03204578911914,73.33436077692376,115215200
2020-05-08,75.2086181640625,75.26196994409985,73.79237965846578,74.11976524502593,133838400
2020-05-11,76.39204406738281,76.88675244657776,74.50776212066847,74.71632174778293,145946400
2020-05-12,75.51900482177734,77.52695980197926,75.39775148384071,77.07589353648245,162301200
2020-05-13,74.60719299316406,76.62000326531418,73.53046253450013,75.69847326337334,200622400
2020-05-14,75.06552124023438,75.12614791139806,73.12304032792042,73.84571291244961,158929200
2020-05-15,74.62175750732422,74.66783438653562,72.80295669861978,72.83691119939427,166348400
2020-05-18,76.37991333007812,76.7533757455592,75.2546860142826,75.9458316362108,135178400
2020-05-19,75.93855285644531,77.24323270759544,75.90702580080492,76.39688667871405,101729600
2020-05-20,77.4154281616211,77.48574978669299,76.75822957715101,76.79703154307944,111504800
2020-05-21,76.8382339477539,77.81796289124716,76.60057476521234,77.27717039456796,102688800
2020-05-22,77.33297729492188,77.41542869782153,76.47450136951518,76.57635005515425,81803200
2020-05-26,76.80916595458984,78.63038662320422,76.75338673756762,78.4509339955865,125522000
2020-05-27,77.143798828125,77.28930432080578,75.92641792081989,76.66606775831522,112945200
2020-05-28,77.17776489257812,78.43637538186252,76.54239845998111,76.81885227689466,133560800
2020-05-29,77.10258483886719,77.88102931454405,76.74609967511876,77.42026804049199,153532400
2020-06-01,78.05077362060547,78.17202695622836,76.92553911368113,77.05649478835441,80791200
2020-06-02,78.41210174560547,78.43635389149792,77.34264649797673,77.78401039078527,87642800
2020-06-03,78.84375762939453,79.10566894505062,78.15988712827792,78.73220664717118,104491200
2020-06-04,78.16476440429688,78.965033585586,77.79130199936047,78.6667550692759,87560400
2020-06-05,80.3909683227539,80.45159499569716,78.38544064604918,78.41454026494723,137250400
2020-06-08,80.86626434326172,80.90021882614607,79.37727738076912,80.08782007948885,95654400
2020-06-09,83.41986846923828,83.81272809723069,80.51464324949785,80.5461703012507,147712400
2020-06-10,85.5660629272461,86.0340990809107,83.92914270631454,84.36807924016622,166651600
2020-06-11,81.45800018310547,85.13440269433788,81.35615151209016,84.71001596343379,201662400
2020-06-12,82.16128540039062,84.34384618919259,81.05060772196103,83.59692864222997,200146000
2020-06-15,83.17737579345703,83.82971944873768,80.65288000271148,80.81536275804567,138808800
2020-06-16,85.38175201416016,85.65336572310193,83.59690633112962,85.2313990507297,165428800
2020-06-17,85.26292419433594,86.18687406891311,85.14167085225792,86.12624739787411,114406400
2020-06-18,85.29688262939453,85.71399444147255,84.6881884557675,85.21927871070163,96820400
2020-06-19,84.8094482421875,86.4681932764156,83.70119078400126,86.00258453034328,264476000
2020-06-22,87.02836608886719,87.17144413379616,85.15621433033841,85.20229118895983,135445200
2020-06-23,88.88597869873047,90.3046443458434,87.85289780891296,88.27243705588172,212155600
2020-06-24,87.31697082519531,89.43405719903721,86.94350839643548,88.51495463894143,192623200
2020-06-25,88.47613525390625,88.51493721035841,86.71311437427568,87.47216145830379,137522400
2020-06-26,85.75765228271484,88.5925564218204,85.60971933565048,88.3718744192934,205256800
2020-06-29,87.73406982421875,87.82865098546023,85.18774958467372,85.66548805897895,130646000
2020-06-30,88.46644592285156,88.7526094686746,87.30241666099202,87.32181394171208,140223200
2020-07-01,88.29911041259766,89.08725718249154,88.25061351334215,88.54404454624031,110737200
2020-07-02,88.29911041259766,89.84145686297828,88.18513936902451,89.20609049720933,114041600
2020-07-06,90.66114044189453,91.12917664404557,89.69596101404703,89.72748807234947,118655600
2020-07-07,90.37981414794922,91.81787696805416,90.26826314860052,91.03943260618246,112424400
2020-07-08,92.48477935791016,92.51630641314865,91.26981841791165,91.35712467862727,117092000
2020-07-09,92.88249206542969,93.43055216626935,91.83486136183558,93.37720039708492,125642800
2020-07-10,93.04496002197266,93.10316665691907,91.86638112451729,92.47749528608121,90257200
2020-07-13,92.6157455444336,96.95904193877826,92.40233843929651,94.3496671725953,191649200
2020-07-14,94.14836883544922,94.33994377964609,91.0636836420722,91.99732841763048,170989200
2020-07-15,94.79586791992188,96.27273284060122,93.5978842251878,96.02295123465481,153198000
2020-07-16,93.6294174194336,94.48546583387535,93.0304255327924,93.66821938221526,110577600
2020-07-17,93.44023895263672,94.23566048761843,92.96734801354852,94.08046007628133,92186800
2020-07-20,95.4094009399414,95.54763152313923,93.18319140296002,93.52755414344499,90318000
2020-07-21,94.09260559082031,96.27516602978264,93.84282396994556,96.19998954005356,103433200
2020-07-22,94.35689544677734,95.03833842484784,93.70697951193738,93.79427833868556,89001600
2020-07-23,90.06214904785156,94.16778614112043,89.25217747144076,94.09018221266099,197004400
2020-07-24,89.83900451660156,90.18336718919892,86.4730112916391,88.26029138007334,185438800
2020-07-27,91.96824645996094,92.06040019801185,90.67811632940159,90.90121836821325,121214000
2020-07-28,90.45742797851562,91.71603836365466,90.45257310797918,91.53900580557185,103625600
2020-07-29,92.19136047363281,92.37566795887918,90.90365031390351,90.94002484369736,90329200
2020-07-30,93.3068618774414,93.4111379617254,90.95697182534603,91.36438122490843,158130000
2020-07-31,103.0750503540039,103.22540332463862,97.80294963723614,99.80120988768464,374336800
2020-08-03,105.67227935791016,108.29134838170961,104.6586032735747,104.95688173530395,308151200
2020-08-04,106.37798309326172,107.46926317333123,105.13877008729901,105.86144267124749,173071600
2020-08-05,106.76358032226562,107.08369095937002,105.6334981524038,106.09911429734815,121776800
2020-08-06,110.48844909667969,110.9831647252199,106.50649412583496,107.09578349765631,202428800
2020-08-07,107.97643280029297,110.46660808616394,107.17957700537667,110.009872310896,198045600
2020-08-10,109.54586791992188,110.56380376144823,106.89534828081695,109.42196412100574,212403600
2020-08-11,106.28795623779297,109.30774713507189,106.02800448544856,108.80971510575287,187902400
2020-08-12,109.82037353515625,110.07789350159867,107.18443047564186,107.37878264931382,165598000
2020-08-13,111.76393127441406,112.76729092425326,110.7119798713676,111.20029955907641,210082000
2020-08-14,111.6643295288086,111.75421760454509,109.85439412589318,111.58901749702606,165565200
2020-08-17,111.37278747558594,112.8110188476026,110.74599537909668,112.78672297104335,119561600
2020-08-18,112.30083465576172,112.72598654466942,110.78972307405309,111.12498689269856,105633600
2020-08-19,112.44173431396484,113.8556697465018,112.34699003787868,112.70897411610314,145538000
2020-08-20,114.9367904663086,115.05097442556867,112.46604709851567,112.48305495531345,126907200
2020-08-21,120.8597640991211,121.34322020785855,115.88426912064436,115.89641335304087,338054800
2020-08-24,122.30526733398438,125.15014624205317,120.4394596328143,125.06510696520752,345937600
2020-08-25,121.3019027709961,121.64688641801345,119.57943117585931,121.1780064067377,211495600
2020-08-26,122.95149993896484,123.40823574071352,121.5521404466388,122.61866792136692,163022400
2020-08-27,121.48169708251953,123.88684074922567,120.33742571871558,123.55400871781482,155552400
2020-08-28,121.28489685058594,122.87374476236184,121.06138518015679,122.45588091995438,187630000
2020-08-31,125.39794158935547,127.30262866474355,122.44374970807395,123.97915723775616,225702700
2020-09-01,130.39285278320312,130.99536378403553,126.84587750534726,129.01293310588505,151948100
2020-09-02,127.69133758544922,134.0856242989173,123.41552988295788,133.70663231996068,200119000
2020-09-03,117.46826171875,125.20359657134411,117.09898956594436,123.32807630409383,257599600
2020-09-04,117.54600524902344,120.20866898674423,107.76022279247066,116.6811253406317,332607200
2020-09-08,109.63575744628906,115.63161300846177,109.49970941253935,110.73386155128658,231366600
2020-09-09,114.00872802734375,115.77735955442189,112.00687240165654,113.95042385620658,176940500
2020-09-10,110.28682708740234,117.09897712734502,109.32477117698187,116.9629291163385,182274400
2020-09-11,108.8388900756836,111.97772918558881,106.89533846718923,111.33635359603639,180860300
2020-09-14,112.10403442382812,112.65794622230302,109.61629124668603,111.48209862954259,140150100
2020-09-15,112.27897644042969,115.4761197012607,110.40344885623584,114.99023180291059,184642000
2020-09-16,108.96521759033203,112.72599259867744,108.8777613272375,111.97772849620063,154679000
2020-09-17,107.22572326660156,109.03322659577087,105.64173160246284,106.6232270995851,178011000
2020-09-18,103.82450866699219,107.7504832499777,103.09567691699868,107.28403508185545,287104900
2020-09-21,106.97308349609375,107.07997942887015,100.19008504511055,101.58944459122996,195713800
2020-09-22,108.65424346923828,109.67461096517128,106.07904368113599,109.49969103484163,183055400
2020-09-23,104.09662628173828,108.94578544391972,103.75649882076176,108.46961737823794,150718700
2020-09-24,105.16557312011719,107.13827671141094,102.03645401086756,102.20165410941537,167743300
2020-09-25,109.11099243164062,109.26648012807148,104.6311051215717,105.36965685149532,149981400
2020-09-28,111.71533966064453,112.06517952480382,109.59686822281799,111.76393141391246,137672400
2020-09-29,110.86988067626953,112.05544815901067,110.36456059896766,111.31690400095869,99382200
2020-09-30,112.54134368896484,113.95042293050288,110.41315990508242,110.57835999800264,142675200
2020-10-01,113.49370574951172,114.39745761315729,112.56080179575848,114.3197137634958,116120400
2020-10-02,109.83010864257812,112.11378793231448,109.05269237323236,109.70378044500065,144712000
2020-10-05,113.21186828613281,113.35763612296132,110.34513295609943,110.6949727988638,106243800
2020-10-06,109.96614837646484,112.84260373156758,109.08182887759448,112.43445227836398,161498200
2020-10-07,111.83197784423828,112.28871372592171,110.90878624545674,111.38496179796955,96849000
2020-10-08,111.72505187988281,113.11469140834828,111.35577237395906,112.96892357253944,83477200
2020-10-09,113.66860961914062,113.69776170512303,111.67646638432409,112.02630624423392,100506900
2020-10-12,120.888916015625,121.64689998480601,115.91342104424781,116.67140501342882,240226800
2020-10-13,117.68204498291016,121.85096395135838,116.2729730734288,121.7343481891843,262330500
2020-10-14,117.76952362060547,119.5575877167491,116.24383575511227,117.58488382722,150712000
2020-10-15,117.30304718017578,117.77921521072741,114.81530369020432,115.36921555833267,112559200
2020-10-16,115.66075134277344,118.1193503209673,115.45667931642107,117.85696670561362,115393800
2020-10-19,112.70654296875,117.02122180628177,112.39557505781023,116.5742058976846,120639300
2020-10-20,114.19338989257812,115.62190167444083,112.36644642665874,112.9203584018645,124423700
2020-10-21,113.57144927978516,115.35951333260171,113.16329777724089,113.37708965617799,89946000
2020-10-22,112.48303985595703,114.70840714970598,111.35577645934274,114.13505561823894,101988000
2020-10-23,111.79308319091797,113.2604666496336,111.05453154484074,113.10497897085499,82572600
2020-10-26,111.80280303955078,113.2604666650257,109.69404402667767,110.79215536953423,111850700
2020-10-27,113.30905151367188,113.96985932342135,111.30719583151641,112.23037983284465,92276800
2020-10-28,108.06145477294922,112.17206924227749,107.96427868585248,111.80279714568576,143937800
2020-10-29,112.06519317626953,113.62975292211088,109.03324978889975,109.19845732169942,146129200
2020-10-30,105.78750610351562,108.8291614562022,104.67968236923052,107.92540973464747,190272600
2020-11-02,105.70006561279297,107.55616121485627,104.29099346700175,106.0304732873338,122866900
2020-11-03,107.32292938232422,108.34328959669351,105.66119353544151,106.56494539048946,107624400
2020-11-04,111.70560455322266,112.32754035689703,109.17898942403805,110.91846867352281,138235500
2020-11-05,115.67046356201172,116.24381509607197,113.57143184766637,114.62094399780884,126387100
